,Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
724,725,NCT01929642,Rapalogues for Autism Phenotype in TSC: A Feasibility Study,RAPT,Completed,Has Results,Tuberous Sclerosis Complex|Self-injury|Autism,Drug: Sirolimus|Drug: Everolimus,Number of Participants With Compliance to the Treatment Protocol.|Caregiver Burden|Feasibility Measurements of Parental Stress|Total Number of Aggressions or Self-injuries|Cognitive Function as Assessed by the Capute Scale|Repetitive Behavior|Self-Injury Trauma Scale--SIT Scale|Frequency of Seizures Assessed by Total Number of Seizures,"Hugo W. Moser Research Institute at Kennedy Krieger, Inc.",All,"2 Years to 30 Years   (Child, Adult)",Phase 2,3.0,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,AM00037881,2013-07-01,2016-07-01,2016-08-01,2013-08-28,2021-03-29,2021-03-29,"Kennedy Krieger Institute, Baltimore, Maryland, United States",,https://ClinicalTrials.gov/show/NCT01929642
726,727,NCT01694667,Omega-3 Fatty Acids for Hyperactivity Treatment in Autism Spectrum Disorder,,Completed,Has Results,Autism Spectrum Disorders|Hyperactivity,Drug: Omega-3 Fatty Acids|Other: Placebo,Change in Aberrant Behavior Checklist - Hyperactivity Subscale (ABC-H) Score|Change in Aberrant Behavior Checklist - Lethargy Subscale Score|Change in Aberrant Behavior Checklist - Stereotypy Subscale Score|Aberrant Behavior Checklist - Irritability Subscale Score|Aberrant Behavior Checklist - Inappropriate Speech Subscale Score|Change in Social Responsiveness Scale (SRS) Score|Change in Clinical Global Impression - Improvement (CGI-I) Score,"Hugo W. Moser Research Institute at Kennedy Krieger, Inc.|University of California, San Francisco",All,5 Years to 8 Years   (Child),Phase 2,57.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",NA_00068694,2012-09-01,2012-12-01,2013-05-01,2012-09-27,2014-06-16,2020-08-31,"This study is open to continental USA, Multiple Locations, Maryland, United States",,https://ClinicalTrials.gov/show/NCT01694667
730,731,NCT04060017,Early Treatment of Language Impairment in Young Children With Autism Spectrum Disorder With Leucovorin Calcium,,Recruiting,No Results Available,Autism Spectrum Disorder|Language Disorders,Drug: Levoleucovorin Calcium|Other: Placebo,Evaluate the change in measures of expressive language|Evaluate the change in measures of language|Evaluate the safety and tolerability of L-leucovorin calcium in young children with ASD|Evaluate the safety of L-leucovorin calcium in young children with ASD|Evaluate the overall change in core autism symptoms of social communication|Evaluate the change in stereotypical autism symptoms|Evaluate the change in social withdrawal autism symptoms|Evaluate the change in effects of autism symptoms most problematic to family members|Evaluate change in overall autism severity|Evaluate the change in overall cognitive ability|Evaluate the change in adaptive functioning,Phoenix Children's Hospital|State University of New York - Downstate Medical Center|United States Department of Defense|University of Arizona|New York State Institute for Basic Research,All,30 Months to 60 Months   (Child),Phase 2,80.0,Other|U.S. Fed,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",DOD Leucovorin,2020-09-22,2022-12-01,2022-12-01,2019-08-16,,2021-03-10,"Phoenix Children's Hospital, Phoenix, Arizona, United States|State University of New York, Downstate, Brooklyn, New York, United States",,https://ClinicalTrials.gov/show/NCT04060017
733,734,NCT01850355,An Open-Label Trial of Buspirone for the Treatment of Anxiety in Youth With Autism Spectrum Disorders,,"Active, not recruiting",No Results Available,Autism Spectrum Disorders|Anxiety,Drug: Buspirone,Reduction in Pediatric Anxiety Rating Scale (PARS) score|Clinical Global Impression-Anxiety (CGI-Anxiety) Improvement Score,Massachusetts General Hospital,All,6 Years to 17 Years   (Child),Not Applicable,9.0,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2013-P-000661,2013-07-01,2021-12-01,2021-12-01,2013-05-09,,2021-07-09,"Massachusetts General Hospital, Boston, Massachusetts, United States",,https://ClinicalTrials.gov/show/NCT01850355
735,736,NCT02008396,Phase 2 Pilot Safety Study of MDMA-assisted Therapy for Social Anxiety in Autistic Adults,,Completed,Has Results,Social Anxiety in Autistic Adults,Drug: Placebo|Drug: 75 mg to 125 mg MDMA|Behavioral: Psychotherapy,Liebowitz Social Anxiety Scale (LSAS) Total Score at Baseline|Liebowitz Social Anxiety Scale (LSAS) Total Score 1-Month Post Experimental Session 2|Change in Leibowitz Social Anxiety Scale (LSAS) Total Score From Baseline to 1-Month Post Experimental Session 2,Multidisciplinary Association for Psychedelic Studies|Lundquist Institute for Biomedical Innovation at Harbor-UCLA Medical Center,All,"21 Years and older   (Adult, Older Adult)",Phase 2,12.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",MAA-1,2014-02-01,2017-08-01,2017-08-01,2013-12-11,2020-10-14,2021-06-22,"Los Angeles Biomedical Research Institute, Torrance, California, United States","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/96/NCT02008396/Prot_002.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/96/NCT02008396/SAP_001.pdf",https://ClinicalTrials.gov/show/NCT02008396
736,737,NCT02757066,Verification of the Efficacy of NPC-15 for Sleep Disorders of Children With Autism Spectrum Disorders,NPC-15-5,Completed,No Results Available,Sleep Disorders|Autism Spectrum Disorder,Drug: NPC-15 Granules Lower Dose|Drug: NPC-15 Granules Higher Dose|Drug: NPC-15 Placebo Granule,Sleep latency with electronic sleep diary|Sleep latency measured by actigraphy|Abnormal behavior checklist Japanese version|Adverse events|Electro cardiogram,Nobelpharma,All,6 Years to 15 Years   (Child),Phase 2|Phase 3,196.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",NPC-15-5,2016-06-16,2018-09-01,2018-09-14,2016-04-29,,2019-04-16,,,https://ClinicalTrials.gov/show/NCT02757066
740,741,NCT01825798,Treatment of Overweight Induced by Antipsychotic Medication in Young People With Autism Spectrum Disorders (ASD),MET,Completed,Has Results,Overweight|Autism Spectrum Disorder,Drug: Metformin|Drug: Placebo,Change in Body Mass Index Z-score|Changes in Additional Body Composition Parameters (Absolute Change in Weight)|Changes in Additional Body Composition Parameters (Relative Change in Weight)|Changes in Additional Body Composition Parameters (Absolute BMI)|Changes in Additional Body Composition Parameters (Abdominal Circumference)|Changes in Additional Body Composition Parameters (Hip Circumference)|Changes in Fasting Metabolic Parameters (Total Cholesterol)|Changes in Fasting Metabolic Parameters (LDL)|Changes in Fasting Metabolic Parameters (HDL)|Changes in Fasting Metabolic Parameters (Triglycerides)|Changes in Fasting Metabolic Parameters (Glucose)|Changes in Fasting Metabolic Parameters (Insulin),"Evdokia Anagnostou|Massachusetts General Hospital|Vanderbilt University|University of Pittsburgh|Nationwide Children's Hospital|Ohio State University|Anagnostou, Evdokia, M.D.",All,6 Years to 17 Years   (Child),Phase 3,60.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",MET-10-2012,2013-04-01,2015-06-01,2015-10-01,2013-04-08,2018-02-22,2018-02-22,"Ohio State University/Nationwide Children's Hospital, Columbus, Ohio, United States|University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, United States|Vanderbilt University, Nashville, Tennessee, United States|Holland Bloorview Kids Rehabilitation Hospital, Toronto, Ontario, Canada",,https://ClinicalTrials.gov/show/NCT01825798
742,743,NCT00047697,Donepezil HCl & Cognitive Deficits in Autism,,Completed,Has Results,Autistic Disorder,Drug: Donepezil HCl|Drug: Placebo,Cognitive Assessment: TMT|Cognitive Assessment: EOWVT Standard Score|Cognitive Assessment: CVLT,University of Pittsburgh|National Institute of Mental Health (NIMH),All,8 Years to 17 Years   (Child),Phase 2,34.0,Other|NIH,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",R21MH064941|DSIR CT-M3,2002-10-01,2006-08-01,2006-08-01,2002-10-16,2017-10-05,2017-10-05,"Western Psychiatric Institute & Clinic, Pittsburgh, Pennsylvania, United States",,https://ClinicalTrials.gov/show/NCT00047697
746,747,NCT02874690,Eye Tracking as a Predictor of Methylphenidate Response in Autism With ADHD,SAT,Completed,No Results Available,Autism Spectrum Disorder|Attention Deficit Hyperactivity Disorder,Drug: Methylphenidate|Drug: Placebo,Change in Eye-Tracking: Microsaccades and pupil size using Tobii eye tracker|Change in Short Interval IntraCortical Inhibition (SICI) using Transcranial Magnetic Stimulation (TMS)|Change in Resting State Electroencephalogram (EEG),"Children's Hospital Medical Center, Cincinnati",All,"8 Years to 21 Years   (Child, Adult)",Early Phase 1,40.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Basic Science",2015-4401,2016-02-19,2017-08-03,2017-08-03,2016-08-22,,2021-01-15,"Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/90/NCT02874690/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT02874690
750,751,NCT01474278,A Study of RO5028442 in Adult Male High-Functioning Autistic Patients,,Completed,No Results Available,Autistic Disorder,Drug: Placebo|Drug: RO5028442,Efficacy: Behavior assessments|Safety: Incidence of adverse events,Hoffmann-La Roche,Male,18 Years to 45 Years   (Adult),Phase 1,19.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)",BP27801,2011-12-01,2013-03-01,2013-03-01,2011-11-18,,2016-11-02,"Los Ageles, California, United States|New Haven, Connecticut, United States|Bronx, New York, United States",,https://ClinicalTrials.gov/show/NCT01474278
755,756,NCT03337646,Evaluation of the Effect and Safety of Lisdexamfetamine in Children Aged 6-12 With ADHD and Autism,,Recruiting,No Results Available,Attention Deficit Hyperactivity Disorder|Autism Spectrum Disorder,Drug: Lisdexamfetamine Dimesylate,ADHD Symptoms|Health Related Quality of Life|Executive Function|Severity of illness|Improvement of Subjects|Safety-Adverse events|Safety - suicidality,JPM van Stralen Medicine Professional|Shire,All,6 Years to 12 Years   (Child),Phase 4,40.0,Other|Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,RES 16-002,2018-09-26,2021-10-01,2021-10-01,2017-11-09,,2021-05-21,"Center for Pediatric Excellence, Ottawa, Ontario, Canada",,https://ClinicalTrials.gov/show/NCT03337646
757,758,NCT02918864,Oxytocin and Social Cognitive Skills Groups,ION-ASD,Completed,No Results Available,Autism Spectrum Disorder,Drug: Oxytocin and social cognitive skills group|Behavioral: Facilitated Play Therapy,Change from Baseline in Social Behavior Composite|Change from Baseline in Social Cognition Composite|Change from Baseline in Global Functioning|Change from Baseline in Social Functioning|Change from Baseline in Quality of Life,Rush University Medical Center|University of Illinois at Chicago|University of Chicago|Northwestern University|Eotvos Lorand University,All,8 Years to 11 Years   (Child),Phase 2,83.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,14062403,2016-06-15,2021-09-01,2021-09-01,2016-09-29,,2021-10-06,"Rush University Medical Center, Chicago, Illinois, United States",,https://ClinicalTrials.gov/show/NCT02918864
761,762,NCT02552147,Nicotinic Cholinergic Modulation as a Novel Treatment Strategy for Aggression Associated With Autism,,Completed,Has Results,Autism Spectrum Disorder|Aggression|Irritability,Drug: Transdermal nicotine|Other: Transdermal placebo,Change From Baseline in Aberrant Behavior Checklist Irritability Subscale (ABC-I)|Change in Social Responsiveness Scale-Adults (SRS-A)|Change in Qualitative Description of Irritability and Aggression Symptoms|Change in Frustration and Irritability Ratings During Frustration-induction Go-NoGo Task|Change in State/Trait Anxiety Inventory (STAI) Score|Nightly Sleep Quality,Yale University|Autism Speaks,All,18 Years to 60 Years   (Adult),Phase 1,8.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",1502015384,2015-09-01,2017-11-17,2017-11-17,2015-09-16,2019-03-14,2019-03-14,"Yale University, New Haven, Connecticut, United States","""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/47/NCT02552147/ICF_001.pdf|""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/47/NCT02552147/Prot_SAP_002.pdf",https://ClinicalTrials.gov/show/NCT02552147
763,764,NCT02677051,Sulforaphane in a New Jersey (NJ) Population of Individuals With Autism,,Recruiting,No Results Available,Autism|Autistic Disorder|Autism Spectrum Disorder|Autistic Behavior,Drug: Sulforaphane|Drug: Placebo,Change in Aberrant Behavior Checklist (ABC) scores.|Change in Social Responsiveness Scale (SRS) scores.|Clinical Global Impression Severity Scale (CGI-S).|Clinical Global Impression Improvement Scale (CGI-I) to measure change from baseline CGI-S scores.|Liver Function Tests as a screen for entry into the study and a monitor of potential change/adverse events due to treatment.|Renal Function Tests as a screen for entry into the study and a monitor of potential change/adverse events due to treatment.|Thyroid Stimulating Hormone (TSH) as a screen for entry into the study and a monitor of potential change/adverse events due to treatment.,"Rutgers, The State University of New Jersey|Rowan University",Male,"13 Years to 30 Years   (Child, Adult)",Phase 2,40.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",Pro20120001884|CAUT15APL013,2016-02-01,2021-12-01,2022-07-01,2016-02-09,,2021-07-14,"Rutgers University - Staged Research Building, Piscataway, New Jersey, United States",,https://ClinicalTrials.gov/show/NCT02677051
765,766,NCT03408886,Microbiota Transfer Therapy for Adults With Autism Spectrum Disorder (ASD) Who Have Gastrointestinal Disorders,MTT-ASD,Recruiting,No Results Available,Autism Spectrum Disorder|Gastrointestinal Disorder,Drug: Vancomycin|Drug: MoviPrep|Biological: Full Spectrum Microbiota,Change in Childhood Autism Rating Scale (CARS) from baseline to 10 weeks|Change in Daily Stool Log (DSL) from baseline to 10 weeks|Change in Social Responsiveness Scale - 2 from baseline to 10 weeks of treatment|Change in Aberrant Behavior Checklist from baseline to 10 weeks,Arizona State University,All,18 Years to 60 Years   (Adult),Phase 2,84.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",MTT-Adults-1|Wi1XWH-16-1-0492,2018-01-04,2022-10-04,2023-09-01,2018-01-24,,2020-09-02,"Arizona State University, Tempe, Arizona, United States",,https://ClinicalTrials.gov/show/NCT03408886
766,767,NCT01256060,Intranasal Oxytocin for the Treatment of Children and Adolescents With ASD (OXY),,Completed,Has Results,Autism Spectrum Disorder,Drug: Intranasal Oxytocin,Maximum Tolerated Dose (MTD)|Number of Participants With Serious Adverse Events|Baseline Levels of Oxytocin in Relation to Either Safety or Treatment Response|Blood Levels of Oxytocin During the Trial in Relation to Safety or Treatment Response,"Evdokia Anagnostou|Holland Bloorview Kids Rehabilitation Hospital|The Hospital for Sick Children|University of Illinois at Chicago|Anagnostou, Evdokia, M.D.",All,10 Years to 17 Years   (Child),Phase 2,15.0,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,10-001,2010-11-01,2013-03-01,2013-03-01,2010-12-08,2015-04-15,2016-08-12,"Holland Bloorview Kids Rehabilitation Hospital, Toronto, Ontario, Canada",,https://ClinicalTrials.gov/show/NCT01256060
770,771,NCT01617460,"A Long-term, Extended Treatment Study of Aripiprazole in Pediatric Patients With Autistic Disorder",,Completed,Has Results,Autistic Disorder,Drug: Aripiprazole,Mean Change From Baseline at the Final Assessment in Aberrant Behavior Checklist Japanese Version (ABC-J) Irritability Subscale Score,"Otsuka Pharmaceutical Co., Ltd.",All,6 Years to 17 Years   (Child),Phase 3,86.0,Industry,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,031-11-003,2012-09-01,2016-10-01,2016-10-01,2012-06-12,2017-10-20,2017-10-20,"Chubu Region, Japan|Chugoku Region, Japan|Kanto Region, Japan|Kinki Region, Japan|Kyushu Region, Japan",,https://ClinicalTrials.gov/show/NCT01617460
772,773,NCT04243382,"Treatment of Children With Autistic Spectrum Disorder With Autologous Umbilical Cord Blood, a Pilot Study",,Recruiting,No Results Available,Autistic Spectrum Disorder,Biological: Autologous umbilical cord blood|Biological: Placebo,Improvement of social communication skills|Functional assessment,Sheba Medical Center,All,18 Months to 12 Years   (Child),Phase 2,60.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",SHEBA-18-5105-OBY-CTIL,2020-02-27,2024-12-01,2024-12-01,2020-01-28,,2021-01-20,"Chaim Seba Medical Center, Ramat Gan, Israel",,https://ClinicalTrials.gov/show/NCT04243382
775,776,NCT00332241,Study of Aripiprazole in the Treatment of Children and Adolescents With Autistic Disorder (AD),,Completed,Has Results,Autistic Disorder,Drug: Aripiprazole|Drug: Placebo,Mean Change (Week 8 - Baseline) in the Autistic Behavior Checklist (ABC) Irritability Subscale Score|Mean Clinical Global Impressions Improvement Scale (CGI-I) Score|Number of Participants With Response at Week 8|Mean Change (Week 8 - Baseline) in the Children's Yale-Brown Obsessive Compulsive Scale (CY-BOCS; Compulsion Scale Only)|Mean Change (Week 8 - Baseline) in the Other ABC Subscale Scores|Mean Change (Week 8 - Baseline) in CGI-Severity (CGI-S)|Summary of Safety|Change From Baseline in Body Weight,"Otsuka Pharmaceutical Development & Commercialization, Inc.|Otsuka America Pharmaceutical",All,6 Years to 17 Years   (Child),Phase 3,98.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",CN138-178,2006-06-01,2008-04-01,2008-04-01,2006-06-01,2009-07-23,2013-12-02,"Marsella, Gregory, Boca Raton, Florida, United States|Child Neurology Associates, Pc, Atlanta, Georgia, United States|University Of Louisville, Louisville, Kentucky, United States|Neurobehavioral Medicine Group, Bloomfield Hills, Michigan, United States|Center For Psychiatry And Behavioral Medicine, Las Vegas, Nevada, United States|Suny - Stony Brook School Of Medicine, Stony Brook, New York, United States|Univ Of Nc, Chapel Hill, North Carolina, United States|Ut Medical Group, Memphis, Tennessee, United States|Red Oak Psychiatry Associates, Pa, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT00332241
776,777,NCT01617447,A Short Treatment Study of Aripiprazole in Pediatric Patients With Autistic Disorder,,Completed,Has Results,Autistic Disorder,Drug: Placebo of Aripiprazole|Drug: Aripiprazole,Mean Change From Baseline in the Aberrant Behavior Checklist Japanese Version (ABC-J) Irritability Subscale Score,"Otsuka Pharmaceutical Co., Ltd.",All,6 Years to 17 Years   (Child),Phase 3,92.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",031-11-002,2012-07-01,2015-06-01,2015-06-01,2012-06-12,2017-04-11,2017-04-11,"Chubu Region, Japan|Chugoku Region, Japan|Kanto Region, Japan|Kinki Region, Japan|Kyushu Region, Japan",,https://ClinicalTrials.gov/show/NCT01617447
784,785,NCT02847182,Cord Blood Infusion for Children With Autism Spectrum Disorder,Duke ACT,Completed,Has Results,Autism Spectrum Disorder|ASD|Autism|PDD,Biological: Cord Blood Infusion|Biological: Placebo,"Change in Social Communication as Measured by the Vineland Adaptive Behavior Scales, Third Edition (VABS-3)|Change in Vineland Socialization Domain Raw Score|Change in Vineland Socialization Domain Age Equivalent|Change in Pervasive Developmental Disorder Behavior Inventory (PDD-BI) Composite Standard Score (Parent Questionnaire)|Change in Clinical Global Impressions - Severity of Illness (CGI-S) Score, Clinician Assessment|Clinical Global Impressions - Global Improvement (CGI-I) Score, Clinician Assessment|Change in Expressive One-Word Picture Vocabulary Test (Clinician Assessment)|Change in Vineland Adaptive Behavior Scales II (VABS-II) Communication Subscale Standard Score|Change in Vineland Adaptive Behavior Scales II (VABS-II) Daily Living Subscale Standard Score|Change in Vineland Adaptive Behavior Scales II (VABS-II) Composite Score|Change in Pervasive Developmental Disorder Behavior Inventory (PDD-BI) Repetitive, Ritualistic and Pragmatic Problems T-Score|Change in PDD-BI Approach/Withdrawal Problems T-Score|Change in PDD-BI Sensory/Perceptual Approach Behaviors T-Score|Change in PDD-BI Ritualisms/Resistance to Change T-Score|Change in PDD-BI Social Pragmatic Problems T-Score|Change in PDD-BI Semantic/Pragmatic Problems T-Score|Change in PDD-BI Arousal Regulation Problems T-Score|Change in PDD-BI Specific Fears T-Score|Change in PDD-BI Aggressiveness T-Score|Change in PDD-BI Expressive Social Communication Abilities T-Score|Change in PDD-BI Receptive/Expressive Social Communication Ability T-Score|Change in PDD-BI Social Approach Behaviors T-Score|Change in PDD-BI Expressive Language T-Score|Change in PDD-BI Learning, Memory, and Receptive Language T-Score|Number of Participants With Infusion Reactions|Severity of Infusion Reactions|Number of Participants With Product-related Infections|Severity of Product-related Infections|Evidence of Alloimmunization Via Anti-HLA (Human Leukocyte Antigen) and Anti-RBC (Red Blood Cell) Antibodies and Nonspecific Markers of Systemic Inflammation (ESR, CRP)|Incidence of Graft vs. Host Disease|Severity of Graft vs. Host Disease|Incidence of Unexpected Adverse Events, by Relation to Study Product|Severity of Unexpected Adverse Events, by Relation to Study Product","Joanne Kurtzberg, MD|Duke University",All,2 Years to 7 Years   (Child),Phase 2,180.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",Pro00070514,2016-09-01,2018-08-19,2019-05-01,2016-07-28,2019-12-26,2020-06-09,"Duke University Medical Center, Durham, North Carolina, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/82/NCT02847182/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT02847182
787,788,NCT00619190,Study of Aripiprazole to Treat Children and Adolescents With Autism,PAIRS,Completed,Has Results,Autistic Disorder|Asperger Syndrome|Autism Spectrum Disorder,Drug: aripiprazole,Change From Baseline in Aberrant Behavior Checklist-Irritability at 12 Weeks|Clinical Global Impressions Scale - Severity Score (CGI-S)|Change From Baseline in the Aberrant Behavior Checklist -Lethargy/Social Withdrawal Subscale at 12 Weeks,"University of North Carolina, Chapel Hill|Bristol-Myers Squibb",All,30 Months to 17 Years   (Child),Phase 2,30.0,Other|Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,04-1792 GCRC-2491,2006-01-01,2012-06-01,2012-06-01,2008-02-20,2014-03-26,2014-03-26,"University of North Carolina, Department of Psychiatry, Chapel Hill, North Carolina, United States",,https://ClinicalTrials.gov/show/NCT00619190
790,791,NCT01227668,Phase IV Long-term Maintenance Study of Aripiprazole in the Treatment of Irritability Associated With Autistic Disorder,,Completed,Has Results,Irritability Associated With Autistic Disorder,Drug: Aripiprazole|Drug: Placebo,"Percentage of Patients Relapsing by Week 16|Adjusted Mean Change From Baseline to Week 16 on the Aberrant Behavior Checklist Irritability (ABC-I) Subscale Score (Last Observation Carried Forward [LOCF])|Change From Baseline in Mean Clinical Global Impression Improvement (CGI-I) Scale Score at Week 16 (Last Observation Carried Forward [LOCF])|Number of Participants With Death as Outcome, Serious Adverse Events (SAEs), and Adverse Events (AEs) Leading to Discontinuation During Phase 1",Bristol-Myers Squibb,All,6 Years to 17 Years   (Child),Phase 4,215.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",CN138-603,2011-03-01,2012-06-01,2012-06-01,2010-10-25,2014-05-02,2014-05-02,"Harmonex Neuroscience Research, Inc, Dothan, Alabama, United States|Southwest Autism Research And Resource Center, Phoenix, Arizona, United States|Clinical Innovations, Inc., Costa Mesa, California, United States|Behavioral Research Specialists, Llc, Glendale, California, United States|Abbey Neuropsychology Clinic, Palo Alto, California, United States|Ucsf - Lppi, San Francisco, California, United States|Stanford University School Of Medicine, Stanford, California, United States|Children'S National Medical Center, Washington, District of Columbia, United States|Sarkis Clinical Trials, Gainesville, Florida, United States|Palm Springs Research Institute, Hialeah, Florida, United States|Florida Clinical Research Center, Llc, Maitland, Florida, United States|Miami Children'S Hospital, Miami, Florida, United States|University Of South Florida, Tampa, Florida, United States|Institute For Behavioral Medicine, Llc, Smyrna, Georgia, United States|Kootenai Behavioral Health Center, Coeur D'Alene, Idaho, United States|Kosair Charities Pediatric Clinical Research Unit, Louisville, Kentucky, United States|Lsu Health Sciences Center, Shreveport, Louisiana, United States|Neurocare, Inc., Newton, Massachusetts, United States|Neurobehavioral Medicine Group, Bloomfield Hills, Michigan, United States|Center For Psychiatry And Behavioral Medicine, Inc, Las Vegas, Nevada, United States|Clinical Research Center Of New Jersey, Gibbsboro, New Jersey, United States|Children'S Specialized Hosp, Toms River, New Jersey, United States|Stony Brook University School Of Medicine, Stony Brook, New York, United States|Unc Chapel Hill, Chapel Hill, North Carolina, United States|Cleveland Clinic, Cleveland, Ohio, United States|University Hospitals Case Medical Center, Cleveland, Ohio, United States|The Ohio State University Nisonger Center, Columbus, Ohio, United States|Cutting Edge Research Group, Oklahoma City, Oklahoma, United States|Ou Physician'S Child Study Center, Oklahoma City, Oklahoma, United States|Tulsa Clinical Research, Llc, Tulsa, Oklahoma, United States|Cyn3rgy Research, Gresham, Oregon, United States|Drexel University College Of Medicine, Philadelphia, Pennsylvania, United States|Western Psychiatric Institute And Clinic, Pittsburgh, Pennsylvania, United States|Holston Medical Group, Kingsport, Tennessee, United States|Insite Clinical Research, Desoto, Texas, United States|Ericksen Research And Development, Clinton, Utah, United States|Childrens Specialty Gr., Pllc, Norfolk, Virginia, United States|Virginia Treatment Center For Children, Richmond, Virginia, United States",,https://ClinicalTrials.gov/show/NCT01227668
