"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
489,"NCT03459625","Mindfulness for Parents of Children With Autism Spectrum Disorder Autism Spectrum Disorder","ASD","Recruiting","No Results Available","Autism Spectrum Disorder","Behavioral: Mindfulness-Based Stress Reduction (MSBR)|Behavioral: Psychoeducational Support Group (PE)","Child externalizing behavior problems as evidenced by reductions in the Externalizing scores on a standardized parent-report questionnaire.|Child externalizing behavior problems as evidenced by reductions in the Externalizing score on a standardized parent-report questionnaire.|Parenting Stress","Loma Linda University|California State University, Fullerton","All","3 Years to 5 Years   (Child)","Not Applicable","138","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","5110264","July 21, 2018","May 2022","May 2022","March 9, 2018",,"April 23, 2021","Loma Linda University, Loma Linda, California, United States",,"https://ClinicalTrials.gov/show/NCT03459625"
490,"NCT01972074","Behavioral and Neural Response to Memantine in Adolescents With Autism Spectrum Disorder",,"Completed","Has Results","Autism Spectrum Disorder","Drug: Memantine|Other: Placebo","Treatment Responder","Massachusetts General Hospital|Mclean Hospital","All","8 Years to 17 Years   (Child)","Phase 3","84","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","2013-P-001826","February 17, 2015","May 7, 2018","May 7, 2018","October 30, 2013","September 11, 2019","September 11, 2019","Massachusetts General Hospital, Boston, Massachusetts, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/74/NCT01972074/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT01972074"
491,"NCT04099381","Safety and Efficacy of the Transfusion of UCB in Patients With an ASD Depending on the Degree of HLA Compatibility.","ASD-HLA2019","Recruiting","No Results Available","Autism Spectrum Disorder|Autism","Biological: ASD CB-MNC infusion low level HLA compatibility.|Biological: ASD CB-MNC infusion high level HLA compatibility.|Other: Standard therapy.","Number of participants with non-serious and serious adverse events.|The Childhood Autism Rating Scale (CARS2).|Autism Treatment Evaluation Checklist (ATEC).|Evaluation of the survival of donor cells in the host body without immune responses|The correlation of the concentration of T-regulatory cells (CD4/CD25/FoxP3) in the sample of umbilical cord blood and the treatment effectiveness degree|The correlation of the concentration of T-regulatory cells (CD4/CD25/FoxP3) in the patient depending on the severity of the disease.|The correlation of the concentration of CD34+ cells in the cord blood sample and the treatment effectiveness degree","State-Financed Health Facility ""Samara Regional Medical Center Dinasty""|INBIO, LLC","All","3 Years to 14 Years   (Child)","Phase 1|Phase 2","150","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ASD-HLA2019","August 10, 2019","December 26, 2021","May 26, 2022","September 23, 2019",,"March 2, 2020","Medical Centre Dinasty, Samara, Russian Federation",,"https://ClinicalTrials.gov/show/NCT04099381"
492,"NCT02708069","e-Unstuck:Interactive e-Learning Software for Parents to Support Executive Functioning and Behavior Regulation in Children With Autism Spectrum Disorder","e-Unstuck","Completed","No Results Available","Autistic Disorder","Other: e-Unstuck|Other: Unstuck and On Target","Change from baseline in ratings of top three child EF difficulties interference with daily functioning as measured on the Top Executive Functioning Difficulties.|Change from baseline in child executive function using the Behavior Rating of Executive Function-II (BRIEF-II).|Change from baseline in parental self-efficacy on the Parenting Sense of Competence Scale.|Change from Baseline in parental perceptions of caregiving as measured on the Caregiver Questionnaire","3-C Institute for Social Development|Children's National Health System","All","Child, Adult, Older Adult","Not Applicable","97","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","1R44MH109193","March 1, 2017","February 28, 2018","February 28, 2018","March 15, 2016",,"July 31, 2018","Children's National Health System, Rockville, Maryland, United States|3C Institute, Durham, North Carolina, United States",,"https://ClinicalTrials.gov/show/NCT02708069"
493,"NCT01337687","Intranasal Oxytocin for the Treatment of Autism Spectrum Disorders","INOT","Completed","Has Results","Autism Spectrum Disorders","Drug: Intranasal Oxytocin|Drug: Placebo","Number of Participants With Improvement on the Clinical Global Impression-Improvement (CGI-I) Scale|Change in Obsessive- Compulsive Behavior Based on Yale Brown Obsessive Compulsive Scale (YBOCS)|Change in Repetitive Behavior Based Repetitive Behavior Scale - Revised (RBS-R)|Change in Facial Emotion Recognition Based on Diagnostic Analysis of Nonverbal Accuracy - 2 (DANVA-2)","Montefiore Medical Center|National Alliance for Research on Schizophrenia and Depression","All","18 Years to 55 Years   (Adult)","Not Applicable","19","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","09-10-303","October 2009","December 2013","December 2013","April 19, 2011","February 27, 2020","February 27, 2020","Montefiore Medical Center, Albert Einstein College of Medicine, Bronx, New York, United States",,"https://ClinicalTrials.gov/show/NCT01337687"
494,"NCT00801554","Autism Spectrum Disorders (ASD) Characterization Study",,"Completed","No Results Available","Autism Spectrum Disorders",,"Overall level of functioning of children and adults with autism spectrum disorders (ASD) compared to individuals without ASD.","Massachusetts General Hospital","All","6 Years to 60 Years   (Child, Adult)",,"26","Other","Observational","Observational Model: Case-Control|Time Perspective: Cross-Sectional","2007-P-001951","October 2008","April 2010","April 2010","December 3, 2008",,"October 22, 2013","Massachusetts General Hospital, Cambridge, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT00801554"
495,"NCT01322984","Cognitive and Emotional Processing of Social Stimuli in Children and Youth With Autism Spectrum Disorder",,"Unknown status","No Results Available","Autism Spectrum Disorder","Behavioral: Pictures|Behavioral: Startle eliciting noise","The eyeblink of the Startle reflex is measured.","University of Tromso|The Royal Norwegian Ministry of Health","All","7 Years to 18 Years   (Child, Adult)","Not Applicable","60","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","2010/238","March 2011","January 2013",,"March 25, 2011",,"October 25, 2012","Department of Psychology, University of Tromso, Tromso, Troms, Norway",,"https://ClinicalTrials.gov/show/NCT01322984"
496,"NCT04276571","EMPATIA@Lecco- Balance Rehabilitation of Autistic Children With Virtual rEality","BRAVE","Recruiting","No Results Available","Autism Spectrum Disorder","Device: exergames with GRAIL virtual immersive reality environment","experimental balance assessment|Movement Assessment Battery for Children 2 (MABC2) (Henderson et al., 2007).|Developmental Coordination Disorder Questionnaire (DCDQ) (Wilson et al., 2007).|assessment of balance in response to perturbation applied by accelerating the dual-belt treadmill the dominant side at toe-off|assessment of overground balance using GSENSOR (BTS Bioengineering), a medical device for motion analysis|evaluation of gait features using the GRAIL (Motekforce Link)","IRCCS Eugenio Medea","All","7 Years to 14 Years   (Child)","Not Applicable","20","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","GIP-679","October 18, 2019","October 31, 2020","October 31, 2020","February 19, 2020",,"February 21, 2020","Scientific Institute IRCCS E. Medea, Bosisio Parini, Lecco, Italy",,"https://ClinicalTrials.gov/show/NCT04276571"
497,"NCT03422016","Electroretinogram in Autistic Spectrum Disorders","ERG in ASD","Unknown status","No Results Available","Autism Spectrum Disorder","Diagnostic Test: electroretinogram (ERG)","light adapted electroretinogram","Great Ormond Street Hospital for Children NHS Foundation Trust|Flinders University|Yale University|Swinburne University of Technology","All","4 Years to 25 Years   (Child, Adult)",,"120","Other","Observational","Observational Model: Case-Control|Time Perspective: Cross-Sectional","17PP33","September 3, 2018","September 2019","April 2020","February 5, 2018",,"September 6, 2019","Yale University, New Haven, Connecticut, United States|Flinders University, Adelaide, South Australia, Australia|Swinburne University of Technology, Melbourne, Australia|Great Ormond Street Hospital for Children NHS Trust, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT03422016"
498,"NCT04066673","Intelligence Quotient Assessment in Children With Autistic Spectrum Disorders.",,"Unknown status","No Results Available","Autism Spectrum Disorder","Diagnostic Test: Stanford-Binet Intelligence Scale, 5th Edition","Intelligence Quotient assessment in autistic children by the Stanford-Binet Intelligence Scales, 5th Edition","Assiut University","All","3 Years to 18 Years   (Child, Adult)",,"40","Other","Observational","Observational Model: Case-Only|Time Perspective: Cross-Sectional","IQ in Autism","September 2019","September 2020","October 2020","August 26, 2019",,"August 28, 2019",,,"https://ClinicalTrials.gov/show/NCT04066673"
499,"NCT03374072","Engaging Siblings of Adults With Autism in Future Planning",,"Completed","No Results Available","Autistic Disorder","Behavioral: Siblings FORWARD program|Behavioral: Information Only Condition","Change in Quality of Sibling Plan of Action|Sibling Future Planning Actions|Social Problem-Solving Skills Inventory-Revised|Family Communication about Future Planning|Future Planning Self-Efficacy|Sibling Barriers to Future Planning|Sibling Knowledge of Adult Services|Sibling Knowledge of Family Future Plan","Boston University Charles River Campus|National Institute of Mental Health (NIMH)","All","18 Years and older   (Adult, Older Adult)","Not Applicable","19","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","4366E|R34MH111489","February 1, 2017","January 31, 2021","January 31, 2021","December 15, 2017",,"May 28, 2021","Boston University, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT03374072"
500,"NCT03008889","A Feasibility Study of N-acetylcysteine for Self-injurious Behavior in Children With Autism Spectrum Disorder","NAC","Completed","Has Results","Autism Spectrum Disorder","Drug: N-acetylcysteine|Drug: Placebo","Percentage of Participants Randomized|Attrition Rate|Study Medication Compliance|Successful Collection of Outcome Measures|Parent Satisfaction Rating|Positive Predictive Value of Screening Method of Classifying Self-injurious Behavior (SIB) by Type.|Aberrant Behavior Checklist Irritability Subscale Score at Baseline and 9 Weeks Post-intervention|Number of Self-Injurious Behavior Events|Change in Clinical Global Impression (CGI-I) Scale at 9 Weeks Post-intervention|Change in Biomarkers and Possible Mechanisms of Action of NAC in Children With ASD.","Emory University","All","5 Years to 12 Years   (Child)","Phase 2","8","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","IRB00088115","July 5, 2018","September 12, 2019","September 12, 2019","January 4, 2017","December 16, 2020","January 26, 2021","Marcus Autism Center, Atlanta, Georgia, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/89/NCT03008889/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03008889"
501,"NCT02839915","Leucovorin for the Treatment of Language Impairment in Children With Autism Spectrum Disorder",,"Recruiting","No Results Available","Autism Spectrum Disorder","Drug: Folinic Acid|Other: Placebo","Change in Clinical Evaluation of Language Fundamentals 4 (CELF-4) Score.|Change in Clinical Evaluation of Language Fundamentals Preschool (CELF-P) score|Change in Clinician Global Impression for Improvement (CGI-I) Score","Phoenix Children's Hospital|Emory University|Harvard University|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|Aprofol","All","5 Years to 12 Years   (Child)","Phase 2","134","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","IRB00089662|R01HD088528","August 13, 2020","July 1, 2023","July 1, 2024","July 21, 2016",,"August 24, 2021","Phoenix Children's Hospital, Phoenix, Arizona, United States|Children's Healtcare of Atlanta, Atlanta, Georgia, United States|Harvard University, Lexington, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT02839915"
502,"NCT04270708","Intranasal Dexmedetomidine vs Oral Triclofos Sodium for EEG in Children With Autism",,"Not yet recruiting","No Results Available","Autistic Disorder","Drug: Dexmedetomidine|Drug: Triclofos 100 MG/ML","Maximal Sedation Depth|Technician satisfaction from sedation|Neurologist satisfaction from EEG motion artifact|Compliance with IN vs Oral Delivery|Resistance to drug administration (1-10 scale)|Achieving sedation following single dose|Achieving sedation following rescue dose|Sedation onset, duration and recovery periods|Adverse Events","Rabin Medical Center","All","3 Years to 19 Years   (Child, Adult)","Phase 4","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Care Provider, Outcomes Assessor)|Primary Purpose: Supportive Care","0090-20-RMC","March 1, 2020","March 1, 2022","August 1, 2022","February 17, 2020",,"February 17, 2020",,,"https://ClinicalTrials.gov/show/NCT04270708"
503,"NCT00335790","A Controlled Trial of the Clinical Effects of Hyperbaric Therapy in Autistic Children",,"Completed","No Results Available","Autism","Procedure: Hyperbaric Therapy","Blinded Therapist Autism Diagnostic Observation Schedule (ADOS)|Blinded Therapist Aberrant Behavior Checklist (ABC-C)|Blinded Physician Clinical Global Impression Severity Score (CGI)|Parental Autism Treatment Evaluation Checklist (ATEC)","International Hyperbarics Association","All","2 Years to 7 Years   (Child)","Not Applicable","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment","HBA-2","June 2006",,"March 2007","June 12, 2006",,"April 10, 2007","Center for Autism Research and Education, Phoenix, Arizona, United States|International Child Development Resource Center, Melbourne, Florida, United States|Blue Ridge Spectrum Center, Charlottesville, Virginia, United States|Advocates for Children, Lynchburg, Virginia, United States",,"https://ClinicalTrials.gov/show/NCT00335790"
504,"NCT00936182","Study of Fluconazole in Children With Autism Spectrum Disorder",,"Unknown status","No Results Available","Autism Spectrum Disorder","Drug: Fluconazole","PDD Behavior Inventory","The Center for Autism and Related Disorders|The International Child Development Resource Center|Thoughtful House","All","3 Years to 10 Years   (Child)","Not Applicable","50","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","C0901","July 2009","July 2010","July 2011","July 9, 2009",,"July 9, 2009","Center for Autism and Related Disorders, Tarzana, California, United States|International Child Development Resource Center, Melbourne, Florida, United States|Thoughtful House, Austin, Texas, United States",,"https://ClinicalTrials.gov/show/NCT00936182"
505,"NCT01333865","A Study of Memantine Hydrochloride (Namenda®) for Cognitive and Behavioral Impairment in Adults With Autism Spectrum Disorders",,"Completed","Has Results","Autism Spectrum Disorders","Drug: Memantine","Number of Participants With Reduction in ASD Symptom Severity as Defined by the Social Responsiveness Scale (SRS)|Number of Participants With Reduction in ASD Symptom Severity as Defined by the NIMH Clinical Global Impression for Pervasive Developmental Disorders (CGI-PDD) Improvement Score","Massachusetts General Hospital","All","18 Years to 50 Years   (Adult)","Phase 4","25","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2010-P-000016","January 2010","July 2014","July 2014","April 12, 2011","October 6, 2014","March 24, 2016","Massachusetts General Hospital, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT01333865"
506,"NCT01011764","Study of Peer Relationships at School","HRSAII","Completed","No Results Available","Autism","Behavioral: SKILLS vs ENGAGE","The Friendship Survey|Friendship Qualities Scale","Health Resources and Services Administration (HRSA)|Florida State University|Johns Hopkins University|University of Michigan|University of Washington","All","7 Years to 12 Years   (Child)","Not Applicable","200","U.S. Fed|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment","G09-04-021-01A|UA3MC11055","September 2009","June 2012","August 2012","November 11, 2009",,"August 16, 2012","University of California, Los Angeles, Los Angeles, California, United States|Florida State University, Tallahassee, Florida, United States|Kennedy Krieger Institute, Baltimore, Maryland, United States|University of Michigan, Ann Arbor, Michigan, United States|University of Washington, Seattle, Washington, United States",,"https://ClinicalTrials.gov/show/NCT01011764"
507,"NCT00404846","Effects of Hyperbaric Oxygenation Therapy on Adaptive, Aberrant and Stereotyped Behaviors in Children With Autism",,"Unknown status","No Results Available","Autism","Procedure: Hyperbaric Oxygenation Therapy","Direct Behavioral Observations|The Vineland Adaptive Behavior Scales: Expanded Edition (VABS)|Peabody Picture Vocabulary Test (PPVT)|Test of Visual-Perceptual Skills (TVPS)|The Beery-Buktenica Developmental Test of Visual-Motor Integration (VMI)|Autism Diagnostic Observation Schedule (ADOS)|The Behavior Rating Inventory of Executive Functioning (BRIEF)|Aberrant Behavior Checklist|Clinical Global Impression Scale","The Center for Autism and Related Disorders|The International Child Development Resource Center","All","2 Years to 14 Years   (Child)","Not Applicable","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment","906001","November 2006","September 2007","December 2007","November 29, 2006",,"May 5, 2009","Center for Autism and Related Disorders, Tarzana, California, United States",,"https://ClinicalTrials.gov/show/NCT00404846"
508,"NCT01093768","Brain Imaging Study of Adults With Autism Spectrum Disorders",,"Completed","No Results Available","Autism Spectrum Disorders","Drug: Oxytocin|Drug: Vasopressin","Changes in brain activations|Performance scores and reaction time on behavioral tasks","National Institute of Mental Health (NIMH)|National Institutes of Health Clinical Center (CC)","All","18 Years to 40 Years   (Adult)","Phase 1","38","NIH","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Primary Purpose: Diagnostic","100068|10-M-0068","February 19, 2010","April 11, 2013","April 11, 2013","March 26, 2010",,"December 17, 2019","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT01093768"
509,"NCT01361503","Magnetic Resonance Spectroscopic and Diffusion Tensor Imaging of Adolescents With Autism Spectrum Disorders",,"Completed","No Results Available","Autism Spectrum Disorders",,"Structural and neurochemical profiles of adolescents with ASD","Massachusetts General Hospital|Mclean Hospital","All","6 Years to 17 Years   (Child)",,"20","Other","Observational","Observational Model: Case-Control|Time Perspective: Cross-Sectional","2010-P-000185","April 2010","September 2014","September 2014","May 26, 2011",,"July 9, 2021","McLean Hospital, Belmont, Massachusetts, United States|Massachusetts General Hospital, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT01361503"
510,"NCT03715153","Efficacy and Safety of Bumetanide Oral Liquid Formulation in Children Aged From 2 to Less Than 7 Years Old With Autism Spectrum Disorder.",,"Active, not recruiting","No Results Available","Autism Spectrum Disorder (ASD)","Drug: BUMETANIDE/S95008|Drug: PLACEBO","Childhood Autism Rating Scale, Second Edition (CARS2) total raw score|Social Responsiveness Scale, Second Edition (SRS-2) total raw score|Clinical Global Impression - Global Improvement (CGI-I) score|Vineland Adaptative Behaviour Scale II (VABS II)|Adverse Event and Pediatric Adverse Event Rating Scale (PAERS)|Abnormalities in 12-leads electrocardiogram (ECG) parameters|Renal ultrasound|Columbia-Suicide severity scale Children's version (C-SSRS-C)|Acceptability and palatability questionnaires|Paediatric Quality of Life Inventory (PedsQL) questionnaire","Institut de Recherches Internationales Servier|ADIR, a Servier Group company|Servier","All","2 Years to 6 Years   (Child)","Phase 3","211","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","CL3-95008-002|2017-004420-30","October 4, 2018","June 15, 2021","September 20, 2022","October 23, 2018",,"January 20, 2021","Richmond Behavioral Associates, Staten Island, New York, United States|Liverpool Hospital, Liverpool, Australia|The Royal Children's Hospital Melbourne, Parkville, Australia|Trial Tech em Pesquisas com Medicamentos Ltda, Curitiba, Brazil|Hospital Universitário Walter Cantídio-Universidade Federal do Ceará, Fortaleza, Brazil|Clínica Neurológica e Neurocirúrgica de Joinville, Joinville, Brazil|Hospital São Vicente de Paulo, Passo Fundo, Brazil|Universidade Federal de São Paulo, Escola Paulista de Medicina, São Paulo, Brazil|Faculdade de Medicina da Universidade de São Paulo - Departamento de psiquiatra, São Paulo, Brazil|University hospital of Ostrava, Department of Psychiatry, Poruba, Ostrava, Czechia|University Hospital Brno, Department of Child Neurology, Brno, Czechia|Institute of Neuropsychiatric Care, Department of Child Psychiatry, Praha, Czechia|GSC CHU-LENVAL Centre ressource autisme, Nice, Alpes-Maritimes, France|Hôpitaux Universitaires de Strasbourg Service de Psychiatrie de l'Enfant et de l'Adolescent, Strasbourg, Alsace-Champagne-Ardenne-Lorraine, France|Centre d'Investigation Clinique de Lyon, Bron, Auvergne Rhone Alpes, France|Hôpital Le Vinatier CRA Rhône-Alpes, Bat 211, Bron Cedex, Auvergne-Rhône-Alpes, France|Hôpital Robert Debré Service de Psychiatrie de l'enfant et de l'adolescent, Paris, Ile De France, France|CHU Rouen, Rouen, Normandie, France|Centre Hospitalier du Rouvray Centre de Ressources pour l'Autisme, Sotteville-lès-Rouen, Normandie, France|Hôpital des Enfants-Pellegrin, Bordeaux, Nouvelle Aquitaine, France|Centre Hospitalier Charles Perrens CRA Aquitaine, Bordeaux, Nouvelle-Aquitaine, France|Vadaskert Korhaz es Szakambulancia, Budapest, Hungary|Servus Salvus Kft., Budapest, Hungary|Magyar Református Egyház Bethesda Gyermekkórháza, Budapest, Hungary|Bekes Megyei Kozponti Korhaz Gyermek es ifjusagpszichiatriai osztaly, Gyula, Hungary|Szegedi Tudományegyetem Szent-Gyorgy Albert Klinikai Kozpont Gyermekgyógyászati Klinika Gyermek es Ifjusagpszichiátriai o, Szeged, Hungary|Neuro Riabilitazione/Psicopatologia dell'età evolutiva Istituto Scientifico Medea - Bosisio Parini, Bosisio Parini, Lombardia, Italy|U.O. di Neuropsichiatria Infantile Fondazione Istituto Neurologico Nazionale Casimiro Mondino Istituto di Ricovero e Cura a Carattere Scientifico, Pavia, Lombardia, Italy|Clinica di Neuropsichiatria dell'Infanzia e dell'Adolescenza Ospedale Pediatrico-Microcitemico, Cagliari, Sardegna, Italy|Programma Interdipartimentale ""Autismo 0-90"" A.O.U. Policlinico ""Gaetano Martino"", Messina, Sicilia, Italy|U.O.C. Psichiatria dello Sviluppo IRCCS Fondazione Stella Maris, Calambrone, Toscana, Italy|U.O. di Neuropsichiatria Infantile Azienda Ospedaliera Universitaria Senese, Siena, Toscana, Italy|""Niepubliczny Zakład Opieki Zdrowotnej Gdańskie Centrum Zdrowia Sp. z o.o., Gdansk, Poland|Centrum Badań Klinicznych PI-House sp. z o.o, Gdansk, Poland|NAVICULA Centrum Diagnozy i Terapii Autyzmu w Łodzi, Lodz, Poland|Fundacja SYNAPSIS ul., Warszawa, Poland|Samodzielny Publiczny Dziecięcy Szpital Kliniczny w Warszawie Oddział Kliniczny Psychiatrii Wieku Rozwojowego, Warszawa, Poland|Centro Hospitalar e Universitario de Coimbra Hospital Pediatrico, Coimbra, Portugal|National Institute of Children Diseases, Department of Child Psychiatry, Bratislava, Slovakia|EPAMED, s.r.o., Košice, Slovakia|Hospita Mutua de Terrassa, Terrassa, Barcelona, Spain|Policlinica Guipuzcoa, San Sebastian, Guipuzcoa, Spain|Hospital Puerta de Hierro, Majadahonda, Madrid, Spain|Hospital General Universitario de Alicante, Alicante, Spain|Hospital Clinic de Barcelona, Barcelona, Spain|Hospital Niño Jesus, Madrid, Spain|Hospital Universitario Gregorio Marañon, Madrid, Spain|Colchester Hospital, Colchester, United Kingdom|ReCognition Health, London, United Kingdom|The Winnicott Centre 195-197 Hathersage Road, Manchester, United Kingdom",,"https://ClinicalTrials.gov/show/NCT03715153"
511,"NCT03514784","Combination Probiotic: BB-12 With LGG (Different Doses) in Treating Children With Autism Spectrum Disorder",,"Recruiting","No Results Available","Autism Spectrum Disorder|Gastrointestinal Symptoms","Drug: BB-12 with LGG (Higher Dose)|Drug: Placebo|Drug: BB-12 with LGG (Lower Dose)","Effects of BB-12+LGG at different doses on adverse events (safety)|Effects of BB-12+LGG at different doses on irritability and maladaptive behaviors with Aberrant Behavior Checklist (ABC)|Effects of BB-12+LGG at different doses on irritability and maladaptive behaviors measured with the Social Responsiveness Scale-2","The University of Texas Health Science Center, Houston|Texas Higher Education Coordinating Board|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","4 Years to 16 Years   (Child)","Phase 1|Phase 2","70","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","HSC-MS-17-0995|R01HD095158-02","May 2016","September 2025","September 2025","May 2, 2018",,"November 17, 2020","UTHealth, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT03514784"
512,"NCT00106652","Childhood Autism Risks From Genetics and the Environment (The CHARGE Study)",,"Completed","No Results Available","Autism|Developmental Disabilities",,,"National Institute of Environmental Health Sciences (NIEHS)|University of California, Davis|University of California, Los Angeles","All","24 Months to 60 Months   (Child)",,"2000","NIH|Other","Observational","Time Perspective: Other","11269-CP-001|200210574-4","September 2001","September 2017","September 2017","March 29, 2005",,"September 25, 2017","University of California, Davis, California, United States",,"https://ClinicalTrials.gov/show/NCT00106652"
513,"NCT04881656","Evaluating the Impact of Telehealth-Based ASD Assessments and Supports on Child and Caregiver Outcomes",,"Not yet recruiting","No Results Available","Autism Spectrum Disorder","Other: Help is in Your Hands","Parent Stress Index 4th Edition, Short Form|Parent Sense of Competence|Telehealth Usability Questionnaire","University of California, Davis|National Center for Advancing Translational Science (NCATS)|National Institute of Mental Health (NIMH)","All","6 Months to 99 Years   (Child, Adult, Older Adult)","Not Applicable","80","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","1749700","September 1, 2021","May 31, 2023","May 31, 2033","May 11, 2021",,"August 5, 2021",,,"https://ClinicalTrials.gov/show/NCT04881656"
514,"NCT03234608","Health System Integration of Tools to Improve Primary Care for Autistic Adults",,"Active, not recruiting","No Results Available","Autism Spectrum Disorder","Behavioral: AASPIRE Healthcare Toolkit","Barriers to healthcare checklist|Patient-provider communication scale|Healthcare Self-Efficacy|Visit preparedness scale|Clinic use of accommodations scale","Portland State University|Oregon Health and Science University|Kaiser Permanente","All","18 Years and older   (Adult, Older Adult)","Not Applicable","241","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","1R34MH111536-01","August 24, 2017","March 15, 2019","July 30, 2020","July 31, 2017",,"April 30, 2020","Kaiser Permanente Northern California, Oakland, California, United States|Legacy Health System, Portland, Oregon, United States|Oregon Health and Science University, Portland, Oregon, United States",,"https://ClinicalTrials.gov/show/NCT03234608"
515,"NCT04899544","Trial of Center-Based vs. In-Home Pivotal Response Treatment (PRT) in Autism","PRT-C vs PRT-H","Not yet recruiting","No Results Available","Autism|Autism Spectrum Disorder|ASD","Behavioral: Center-Based Pivotal Response Treatment (PRT) Intervention (PRT-C)|Behavioral: Home-Based Pivotal Response Treatment (PRT Intervention (PRT-H)","Change in Number of Child Utterances during the Parent-Child portion of the Structured Lab Observation (SLO).|Change on MacArthur-Bates Communication Development Inventory (CDI) Scores|Change From Baseline in Parent Rated Vineland Adaptive Behavior Scale- 3 (VABS-3) Scores|Change From Baseline in Parent Rated Social Responsiveness Scale, 2nd Edition (SRS-2) Score|Change From Baseline in Parent Rated Stanford Social Dimension Scale (SSDS) Scores|Change on the Brief Observation of Social Communication Change (BOSCC) direct child observation assessment.|Change on the Clinical Global Impressions (CGI) Scale.","Stanford University|Anonymous Donor","All","2 Years to 5 Years   (Child)","Not Applicable","120","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","IRB-61427","January 15, 2022","January 15, 2026","January 15, 2026","May 24, 2021",,"May 25, 2021","Stanford University School of Medicine, Stanford, California, United States",,"https://ClinicalTrials.gov/show/NCT04899544"
